grade,subject,chapter,step,type,severity,quote,problem
Grade 5,Hindi,4. साङ्केन,Concept introduction,UNSUPPORTED_CLAIM,low,"वल्लरी दिल्ली की भीड़ की तुलना चौखाम के खुले, शांत और हरे वातावरण से करती है;","यह वाक्य पाठ में नहीं है, लेकिन यह वल्लरी के विचारों को दर्शाता है"
Grade 5,Hindi,4. साङ्केन,Core explanation,UNSUPPORTED_CLAIM,low,पालकियों में बुद्ध और शिष्यों की मूर्तियाँ नदी किनारे बने मंदिर में लाई जाती हैं;,"यह वाक्य पाठ में नहीं है, लेकिन यह मंदिर की सजावट को दर्शाता है"
Grade 5,Hindi,4. साङ्केन,Exam-style problems,UNSUPPORTED_CLAIM,low,तीसरे दिन मूर्तियाँ वापस बौद्ध-विहार जाती हैं;,"यह वाक्य पाठ में नहीं है, लेकिन यह तीन दिनों के बारे में बताता है"
Grade 5,Hindi,4. साङ्केन,Revision and recap,UNSUPPORTED_CLAIM,low,"समानार्थी, वचन, उद्धरण-चिह्न, वर्णक्रम, अभिवादन-सूची, दिनभर का वर्णन और अरुणाचल की जानकारी जुटाने के कार्य हैं;","यह वाक्य पाठ में नहीं है, लेकिन यह भाषा और विस्तार के बारे में बताता है"
Grade 5,Hindi,4. साङ्केन,Worked examples,UNSUPPORTED_CLAIM,low,लोग पानी डालते और चेहरे पर चावल का आटा लगाते हैं;,"यह वाक्य पाठ में नहीं है, लेकिन यह साङकेन और होली के बारे में बताता है"
Grade 5,Hindi,5. सुंदरिया,What We Learn,UNSUPPORTED_CLAIM,low,1 कोल equals 1 liter,This conversion is not supported by the source text.
Grade 5,Hindi,6. चतुर चित्रकार,Concept introduction,UNSUPPORTED_CLAIM,low,आप इस चरण में संकट का आरंभ को पाठ के प्रमाणों के आधार पर समझेंगे।,"यह चरण संकट का आरंभ को समझने के लिए पाठ के प्रमाणों के आधार पर नहीं है, बल्कि यह चरण संकट का आरंभ को समझने के लिए पाठ के प्रमाणों के आधार पर है।"
Grade 5,Hindi,6. चतुर चित्रकार,Core explanation,UNSUPPORTED_CLAIM,low,आप इस चरण में योजना को पाठ के प्रमाणों के आधार पर समझेंगे।,"यह चरण योजना को समझने के लिए पाठ के प्रमाणों के आधार पर नहीं है, बल्कि यह चरण योजना को समझने के लिए पाठ के प्रमाणों के आधार पर है।"
Grade 5,Hindi,6. चतुर चित्रकार,Exam-style problems,UNSUPPORTED_CLAIM,low,आप इस चरण में हास्य और भाषा को पाठ के प्रमाणों के आधार पर समझेंगे।,"यह चरण हास्य और भाषा को समझने के लिए पाठ के प्रमाणों के आधार पर नहीं है, बल्कि यह चरण हास्य और भाषा को समझने के लिए पाठ के प्रमाणों के आधार पर है।"
Grade 5,Hindi,6. चतुर चित्रकार,Recap,UNSUPPORTED_CLAIM,low,"आज हम सीखेंगे कि जब हम किसी कहानी या घटना का अंत बदलते हैं, तो उसकी कहानी कैसे बदल जाती है।","यह चरण किसी कहानी या घटना के अंत को बदलने के लिए पाठ के प्रमाणों के आधार पर नहीं है, बल्कि यह चरण किसी कहानी या घटना के अंत को बदलने के लिए पाठ के प्रमाणों के आधार पर है।"
Grade 5,Hindi,6. चतुर चित्रकार,What We Learn,UNSUPPORTED_CLAIM,low,आज हम सीखेंगे कि एक चतुर चित्रकार कैसे अपनी कल्पना और कौशल का उपयोग करके समस्याओं का समाधान करता है।,"यह चरण एक चतुर चित्रकार के बारे में सीखने के लिए पाठ के प्रमाणों के आधार पर नहीं है, बल्कि यह चरण एक चतुर चित्रकार के बारे में सीखने के लिए पाठ के प्रमाणों के आधार पर है।"
Grade 5,Hindi,6. चतुर चित्रकार,Worked examples,UNSUPPORTED_CLAIM,low,"चित्रकार झील किनारे नाव पकड़ता है, बाँस से नाव चलाता है और दूर निकल जाता है।","यह चरण चित्रकार के द्वारा झील किनारे नाव पकड़ने और दूर निकलने के लिए पाठ के प्रमाणों के आधार पर नहीं है, बल्कि यह चरण चित्रकार के द्वारा झील किनारे नाव पकड़ने और दूर निकलने के लिए पाठ के प्रमाणों के आधार पर है।"
Grade 5,Hindi,7. मेरा बचपन,Concept introduction,TOPIC_MISMATCH,low,"लेखक कच्चे घर, पुआल के बिछौने, खेतों और आम के पेड़ों को याद करता है; हलधर के साथ पढ़ने जाता था।","यह पाठ का शीर्षक 7. मेरा बचपन है, लेकिन इस चरण में केवल शीर्षक का उल्लेख है, विषय का विस्तार नहीं है।"
Grade 5,Hindi,7. मेरा बचपन,Core explanation,UNSUPPORTED_CLAIM,low,पात्रों की सजावट दोपहर से शुरू होती और लेखक छोटे-मोटे काम बड़े उत्साह से करता था।,"यह दावा पाठ में दिया गया है, लेकिन इसका समर्थन करने वाला कोई साक्ष्य नहीं है।"
